0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;Средняя оценка;20_похожих
Василиса;Ужасы;Фэнтези;Сверхъестественные;Новинки (2020–2025);5.706;676363;;4.6;0;;;;;;;;;;5.2;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Астрал 3;Ужасы;Триллер;Сверхъестественные;Современное кино (2000–2020);5.809;798277;Insidious: Chapter 3;6.1;5.6;;;;;;;;;;5.8;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Оверлорд;Ужасы;Военный;Сверхъестественные;Современное кино (2000–2020);6.314;1047365;Overlord;6.6;6.7;;;;;;;;;;6.5;"Адский бункер;Призраки войны;Адский бункер: Черное Солнце;Одержимость;Песочник;Наваждение;Последний киносеанс;Призрак дома на холме;Телесеть;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Невинные;Пустой дом;Потерянный рейс;Злой дух Ямбуя"
Божественная ярость;Ужасы;Боевик (Экшен);Сверхъестественные;Современное кино (2000–2020);6.708;1112788;Saja;6.3;5.5;;;;;;;;;;6.2;"С вечера до полудня;Вопль;От заката до рассвета;Логово Дьявола;30 дней ночи;Вампиры;Армия мертвецов;Страна чудес Вилли;Дожить до рассвета;Обитель зла 4: Жизнь после смерти 3D;30 дней до рассвета;Адский бункер: Восстание спецназа;Проклятые. Противостояние;От заката до рассвета 2: Кровавые деньги из Техаса;Джиперс Криперс 3;Хеллсинг;Зверобой;Охотник на людей;Грайндхаус;Гость"
Пираньи 3D;Ужасы;Фантастика;Кровавые слэшеры;Современное кино (2000–2020);5.35;171728;Piranha 3D;5.5;6.2;;;;;;;;;;5.7;"28 дней спустя;Реаниматор;Рассвет мертвецов;Вход в пустоту;Возвращение живых мертвецов;Монстро;М3ГАН;Слизняк;День мертвых;Пропавшие среди живых;Мертвеход;Мутанты;Счастливого нового дня смерти;Обитель зла: Вырождение;Охота на пиранью;Глубокое синее море;Залив;Карантин;Морские паразиты;Постарайся остаться живым"
Обряд;Ужасы;Триллер;Оккультные;Современное кино (2000–2020);6.517;464279;The Rite;6;4.3;;;;;;;;;;5.6;"Изгоняющий дьявола;Два, три, демон, приди!;Обитель проклятых;Репортаж из преисподней;Заклятие 3: По воле дьявола;Собственность дьявола;Первая ведьма;Знамение;Секта;Последнее изгнание дьявола;Омен;Одержимость Майкла Кинга;Пиковая дама: Черный обряд;Повелители Салема;Рука дьявола;Последний обряд;Пришествие дьявола;Последнее изгнание дьявола: Второе пришествие;Одержимость;Наваждение"
Змеиный источник;Ужасы;Фэнтези;Сверхъестественные;Классика (до 2000 года);6.848;41649;;6.5;0;;;;;;;;;;6.7;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Адское дитя;Ужасы;Триллер;Сверхъестественные;Современное кино (2000–2020);4.796;674416;Hell Baby;4.9;4.5;;;;;;;;;;4.7;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Темная вода;Ужасы;Драма;Психологические;Современное кино (2000–2020);6.117;71076;Dark Water;5.6;5.6;;;;;;;;;;5.8;"Кэрри;Маяк;Последнее воскресение;Полустанок;мама!;Май;Бабадук;История двух сестер;Девушка в подвале;Антихрист;Страна хороших деточек;Призрак дома на холме;Впусти меня;Приют;Коробка;Ужас Амитивилля;Сербский фильм;Сияние;Ребенок Розмари;Челюсти"
Бал вампиров;Ужасы;Комедия;Сверхъестественные;Классика (до 2000 года);7.568;11622;Dance of the Vampires;7;6.5;;;;;;;;;;7.0;"Зловещие мертвецы 2;Гремлины;Привязанные к дому;Тень вампира;Тельма;Ночь страха;Моя девушка — монстр;Оборотни внутри;Семь пар нечистых;Сдается дом со всеми неудобствами;Невеста Чаки;Бывшая с того света;Тело Дженнифер;Швы;Если твоя девушка — зомби;Особняк с привидениями;Эбигейл;Самый страшный фильм 3D;Убойные каникулы;Кокаин"
Оборотень;Ужасы;Фэнтези;Сверхъестественные;Новинки (2020–2025);8.005;492613;Teen Wolf;7.7;0;;;;;;;;;;7.9;"Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов;Интервью с вампиром"
Обитатели;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);4.874;992614;The Lodgers;5.1;5.8;;;;;;;;;;5.3;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Пункт назначения: Смайл;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);5.385;973148;Polaroid;5.2;2.4;;;;;;;;;;4.3;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Под водой;Ужасы;Фантастика;Кровавые слэшеры;Новинки (2020–2025);6.074;1031442;Underwater;5.9;5.3;;;;;;;;;;5.8;"28 дней спустя;Реаниматор;Рассвет мертвецов;Вход в пустоту;Возвращение живых мертвецов;Монстро;М3ГАН;Слизняк;День мертвых;Пропавшие среди живых;Мертвеход;Мутанты;Счастливого нового дня смерти;Обитель зла: Вырождение;Охота на пиранью;Глубокое синее море;Залив;Карантин;Морские паразиты;Постарайся остаться живым"
Средь бела дня;Ужасы;Детектив;Сверхъестественные;Современное кино (2000–2020);5.599;454079;The Cold Light of Day;4.9;2.9;;;;;;;;;;4.5;"Песочник;Телесеть;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Дьявол;Тайна темной комнаты;Пустой человек;Пионеры-герои;Мешок с костями;Нужные вещи;Проклятый дом"
Ужасвин;Ужасы;Комедия;Кровавые слэшеры;Новинки (2020–2025);0;252627;Horrorween;4.3;0;;;;;;;;;;4.3;"Убойные каникулы;Кокаин;В чужой шкуре;Топор;Операция «Мертвый снег» 2;Люди под лестницей;Последние девушки;Операция «Мертвый снег»;Злая шутка;Паршивая овца;Няня: Королева проклятых;2001 маньяк;WTF! Какого черта?;Бобры-зомби;Кутис;С днем смерти;Пираньи 3DD;Зловещие мертвецы 2;Гремлины;Бал вампиров"
Хостел 3;Ужасы;Триллер;Кровавые слэшеры;Современное кино (2000–2020);4.78;419633;Hostel: Part III;4.6;6.3;;;;;;;;;;5.2;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Уиджи. Доска Дьявола;Ужасы;Фантастика;Оккультные;Современное кино (2000–2020);4.875;462398;Ouija;4.5;3.2;;;;;;;;;;4.2;"Последний киносеанс;Артефакт;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Невинные;Кошмар на улице Вязов;Части тела;Муха;Муха;Муха;Пакет;Голова-ластик;Муха;Муха;Тихое место"
Тебе стоило уйти;Ужасы;Фантастика;Психологические;Новинки (2020–2025);5.614;1139531;You Should Have Left;5.4;4.9;;;;;;;;;;5.3;"Артефакт;Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник"
Дом ночных призраков;Ужасы;Детектив;Сверхъестественные;Классика (до 2000 года);6.575;3546;House on Haunted Hill;5.6;4.7;;;;;;;;;;5.6;"Песочник;Телесеть;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Дьявол;Тайна темной комнаты;Пустой человек;Пионеры-герои;Мешок с костями;Нужные вещи;Проклятый дом"
Проклятие Спящей красавицы;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);4.336;863713;The Curse of Sleeping Beauty;4.3;4.1;;;;;;;;;;4.2;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Планета страха;Ужасы;Боевик (Экшен);Кровавые слэшеры;Современное кино (2000–2020);6.737;273063;Planet Terror;7;6.3;;;;;;;;;;6.7;"Зверобой;Охотник на людей;Грайндхаус;Гость;Зверь;Топор. 1943;Пазманский дьявол;Топор. 1944;Доказательство смерти;Обитель зла;Париж. Город Zомби;По прозвищу «Зверь»;Бомж с дробовиком;Судная ночь 3;Змеиный полет;Поезд в Пусан 2: Полуостров;Уцелевшая;Судная ночь;Фредди против Джейсона;Никто не выжил"
Обитель зла;Ужасы;Боевик (Экшен);Кровавые слэшеры;Современное кино (2000–2020);7.562;801;Resident Evil;6.6;4.6;;;;;;;;;;6.3;"Зверобой;Охотник на людей;Грайндхаус;Гость;Зверь;Топор. 1943;Планета страха;Пазманский дьявол;Топор. 1944;Доказательство смерти;Париж. Город Zомби;По прозвищу «Зверь»;Бомж с дробовиком;Судная ночь 3;Змеиный полет;Поезд в Пусан 2: Полуостров;Уцелевшая;Судная ночь;Фредди против Джейсона;Никто не выжил"
Хэллоуин убивает;Ужасы;Боевик (Экшен);Кровавые слэшеры;Новинки (2020–2025);5.356;1287542;Halloween Kills;5.5;5;;;;;;;;;;5.3;"Зверобой;Охотник на людей;Грайндхаус;Гость;Зверь;Топор. 1943;Планета страха;Пазманский дьявол;Топор. 1944;Доказательство смерти;Обитель зла;Париж. Город Zомби;По прозвищу «Зверь»;Бомж с дробовиком;Судная ночь 3;Змеиный полет;Поезд в Пусан 2: Полуостров;Уцелевшая;Судная ночь;Фредди против Джейсона"
Счастливого нового дня смерти;Ужасы;Фантастика;Кровавые слэшеры;Современное кино (2000–2020);6.208;1121425;Happy Death Day 2 U;6.2;6.1;;;;;;;;;;6.2;"28 дней спустя;Реаниматор;Рассвет мертвецов;Вход в пустоту;Возвращение живых мертвецов;Монстро;М3ГАН;Слизняк;День мертвых;Пропавшие среди живых;Мертвеход;Мутанты;Обитель зла: Вырождение;Охота на пиранью;Глубокое синее море;Залив;Карантин;Морские паразиты;Постарайся остаться живым;Под водой"
Игрушечная история ужаса;Ужасы;Комедия;Психологические;Современное кино (2000–2020);0;5378565;;0;0;;;;;;;;;;0.0;"Бивень;Зловещие мертвецы 2;Убойные каникулы;Гремлины;Кокаин;Бал вампиров;Привязанные к дому;Тень вампира;Тельма;В чужой шкуре;Топор;Операция «Мертвый снег» 2;Сглазили;Ночь страха;Моя девушка — монстр;Люди под лестницей;Няня;Оборотни внутри;Последние девушки;Семь пар нечистых"
Астрал;Ужасы;Фантастика;Сверхъестественные;Современное кино (2000–2020);6.801;495892;Insidious;6.8;6;;;;;;;;;;6.5;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Обитель зла: Вырождение;Ужасы;Фантастика;Кровавые слэшеры;Современное кино (2000–2020);6.762;405450;Baiohaz?do: Dijener?shon;6.4;5.4;;;;;;;;;;6.2;"28 дней спустя;Реаниматор;Рассвет мертвецов;Вход в пустоту;Возвращение живых мертвецов;Монстро;М3ГАН;Слизняк;День мертвых;Пропавшие среди живых;Мертвеход;Мутанты;Счастливого нового дня смерти;Охота на пиранью;Глубокое синее море;Залив;Карантин;Морские паразиты;Постарайся остаться живым;Под водой"
Уиджи: Проклятие Вероники;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);5.426;992173;Ver?nica;6.2;7.2;;;;;;;;;;6.3;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Тайна темной комнаты;Ужасы;Детектив;Сверхъестественные;Новинки (2020–2025);5.983;803433;;6.3;0;;;;;;;;;;6.1;"Песочник;Телесеть;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом;Истории призраков;Королевство;Дом на другой стороне;Дьявол;Пустой человек;Пионеры-герои;Мешок с костями;Нужные вещи;Проклятый дом;Узник старой усадьбы"
Крик 2;Ужасы;Детектив;Кровавые слэшеры;Классика (до 2000 года);6.795;3784;Scream 2;6.3;6.9;;;;;;;;;;6.7;"Квест;Крик;Спираль;Счастливого дня смерти;Крик 4;Кукольник;Крик 3;Пила 8;Пила: Спираль;Песочник;Телесеть;Седьмой спутник;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом"
Челюсти 3D;Ужасы;Триллер;Кровавые слэшеры;Классика (до 2000 года);4.305;518047;Shark Night 3D;4.1;3.7;;;;;;;;;;4.0;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Чертово колесо;Ужасы;Триллер;Психологические;Новинки (2020–2025);6.212;294993;;5.5;0;;;;;;;;;;5.9;"Сияние;Ребенок Розмари;Челюсти;Отвращение;Медсестра;Птицы;Прочь;Другие;Слушатель;Ночной гость;Замороженный;Пила: Игра на выживание;Карнавал душ;Солнцестояние;Отчим;1408;Не дыши;Человек у окна;Игра Джеральда;Игры мотыльков"
Полустанок;Ужасы;Драма;Психологические;Современное кино (2000–2020);6.969;43109;;6.9;0;;;;;;;;;;6.9;"Кэрри;Маяк;Последнее воскресение;мама!;Май;Бабадук;История двух сестер;Девушка в подвале;Антихрист;Темная вода;Страна хороших деточек;Призрак дома на холме;Впусти меня;Приют;Коробка;Ужас Амитивилля;Сербский фильм;Сияние;Ребенок Розмари;Челюсти"
2001 маньяк;Ужасы;Комедия;Кровавые слэшеры;Современное кино (2000–2020);5.181;5119;2001 Maniacs;5.3;6.1;;;;;;;;;;5.5;"Убойные каникулы;Кокаин;В чужой шкуре;Топор;Операция «Мертвый снег» 2;Люди под лестницей;Последние девушки;Операция «Мертвый снег»;Злая шутка;Паршивая овца;Няня: Королева проклятых;WTF! Какого черта?;Бобры-зомби;Кутис;С днем смерти;Ужасвин;Пираньи 3DD;Зловещие мертвецы 2;Гремлины;Бал вампиров"
История одного вампира;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);5.99;102393;Cirque du Freak: The Vampire's Assistant;5.8;4.9;;;;;;;;;;5.6;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Черная смерть;Ужасы;Исторический;Сверхъестественные;Современное кино (2000–2020);6.675;404200;Black Death;6.4;6.3;;;;;;;;;;6.5;"Кровавая графиня — Батори;Кровавая леди Батори;Одержимость;Песочник;Наваждение;Последний киносеанс;Призрак дома на холме;Телесеть;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Невинные;Пустой дом;Потерянный рейс;Злой дух Ямбуя;Кошмар на улице Вязов"
Колония;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);5.469;420938;The Colony;5.3;4;;;;;;;;;;4.9;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Спираль;Ужасы;Детектив;Кровавые слэшеры;Новинки (2020–2025);6.339;1378941;Uzumaki;6.4;0;;;;;;;;;;6.4;"Квест;Крик;Крик 2;Счастливого дня смерти;Крик 4;Кукольник;Крик 3;Пила 8;Пила: Спираль;Песочник;Телесеть;Седьмой спутник;Заклятие;Сонная Лощина;Именины;Звонок;Тайный Санта;Игра в правду;Беспокойная Анна;Недетский дом"
Проклятие: Обитель смерти;Ужасы;Триллер;Сверхъестественные;Новинки (2020–2025);5.765;679978;Malevolent;4.9;5.3;;;;;;;;;;5.3;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Секретный эксперимент;Ужасы;Фантастика;Психологические;Новинки (2020–2025);4.98;606686;Banshee Chapter;5.4;6.3;;;;;;;;;;5.6;"Артефакт;Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник"
Добро пожаловать в капкан;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);6.255;572772;Welcome to the Punch;6.1;5.7;;;;;;;;;;6.0;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Ужастики;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);6.215;463237;Goosebumps;6.3;6.4;;;;;;;;;;6.3;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Муха 2;Ужасы;Фантастика;Психологические;Классика (до 2000 года);5.708;7428;The Fly II;5.2;4.6;;;;;;;;;;5.2;"Артефакт;Доктор Джекилл и мистер Хайд;Нечто;Муха;Излечить страх;Части тела;Муха;Муха;Муха;Голова-ластик;Муха;Муха;Тихое место;Видеодром;Лестница Иакова;Тихое место 2;Человек-невидимка;Мы;Оно приходит за тобой;Треугольник"
Поворот не туда 2: Тупик;Ужасы;Триллер;Кровавые слэшеры;Современное кино (2000–2020);5.608;258708;Wrong Turn 2: Dead End;5.5;6.4;;;;;;;;;;5.8;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Видения;Ужасы;Триллер;Психологические;Современное кино (2000–2020);5.709;770693;Visions;5.3;4.9;;;;;;;;;;5.3;"Сияние;Ребенок Розмари;Челюсти;Отвращение;Медсестра;Птицы;Прочь;Другие;Слушатель;Ночной гость;Замороженный;Пила: Игра на выживание;Карнавал душ;Солнцестояние;Отчим;1408;Не дыши;Человек у окна;Игра Джеральда;Игры мотыльков"
Один пропущенный звонок;Ужасы;Триллер;Сверхъестественные;Современное кино (2000–2020);6.539;49221;Chakushin ari;6.2;5.3;;;;;;;;;;6.0;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
Армия мертвецов;Ужасы;Боевик (Экшен);Сверхъестественные;Новинки (2020–2025);5.9;428683;Army of the Dead;5.8;6.1;;;;;;;;;;5.9;"С вечера до полудня;Вопль;От заката до рассвета;Логово Дьявола;Божественная ярость;30 дней ночи;Вампиры;Страна чудес Вилли;Дожить до рассвета;Обитель зла 4: Жизнь после смерти 3D;30 дней до рассвета;Адский бункер: Восстание спецназа;Проклятые. Противостояние;От заката до рассвета 2: Кровавые деньги из Техаса;Джиперс Криперс 3;Хеллсинг;Зверобой;Охотник на людей;Грайндхаус;Гость"
Хозяева;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);4.133;1226603;Hosts;4.3;7.1;;;;;;;;;;5.2;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Людоед;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва"
Людоед;Ужасы;Триллер;Кровавые слэшеры;Новинки (2020–2025);7.059;8907;Ravenous;6.9;6;;;;;;;;;;6.7;"Маньяк;Техасская резня бензопилой;Белый плен;Связи нет;Пила: игра на выживание;Бункер;Закрытые пространства;Пила 10;Райское озеро;Настоятель 2;Сладкая полночь;Дичь;День слепого Валентина;Хэллоуин;Пила 2;У холмов есть глаза;Кровавая жатва;Капкан;Дитя тьмы: Первая жертва;Хостел"
Рассвет мертвецов;Ужасы;Фантастика;Кровавые слэшеры;Классика (до 2000 года);7.264;36544;Dawn of the Dead;7.2;6.8;;;;;;;;;;7.1;"28 дней спустя;Реаниматор;Вход в пустоту;Возвращение живых мертвецов;Монстро;М3ГАН;Слизняк;День мертвых;Пропавшие среди живых;Мертвеход;Мутанты;Счастливого нового дня смерти;Обитель зла: Вырождение;Охота на пиранью;Глубокое синее море;Залив;Карантин;Морские паразиты;Постарайся остаться живым;Под водой"
Крикуны;Ужасы;Фантастика;Сверхъестественные;Новинки (2020–2025);7.062;28214;Screamers;6.3;4.6;;;;;;;;;;6.0;"Последний киносеанс;Ходячие мертвецы;Ночь живых мертвецов;Невеста Франкенштейна;Невинные;Кошмар на улице Вязов;Пакет;Исполнение желаний;Франкенштейн;Поезд в Пусан;Живая мертвечина;Оно;Запределье;Дрожь земли;Дети дождя;Доктор Сон;Хижина в лесу;Последний человек на Земле;Жажда;Впусти меня. Сага"
Дракула 2000;Ужасы;Фэнтези;Сверхъестественные;Современное кино (2000–2020);6.094;17176;Dracula 2000;4.9;3.6;;;;;;;;;;4.9;"Оборотень;Коралина в стране кошмаров;Коралина в Стране Кошмаров;Пожиратель душ;Пустой дом;Злой дух Ямбуя;Носферату: Призрак ночи;Вий;Хребет дьявола;Зловещие мертвецы;Мальчик-оборотень;Кука;Американский оборотень в Лондоне;Охотник на вампиров Ди: Жажда крови;Песочный человек;Зловещие мертвецы 3: Армия тьмы;Сонная лощина;Ведьма;Призрак виллы Натхов;Калейдоскоп ужасов"
Визит;Ужасы;Триллер;Психологические;Современное кино (2000–2020);6.245;838043;The Visit;6.3;5.9;;;;;;;;;;6.1;"Сияние;Ребенок Розмари;Челюсти;Отвращение;Медсестра;Птицы;Прочь;Другие;Слушатель;Ночной гость;Замороженный;Пила: Игра на выживание;Карнавал душ;Солнцестояние;Отчим;1408;Не дыши;Человек у окна;Игра Джеральда;Игры мотыльков"
Куджо;Ужасы;Триллер;Психологические;Классика (до 2000 года);6.38;4082;Cujo;6.1;5.8;;;;;;;;;;6.1;"Сияние;Ребенок Розмари;Челюсти;Отвращение;Медсестра;Птицы;Прочь;Другие;Слушатель;Ночной гость;Замороженный;Пила: Игра на выживание;Карнавал душ;Солнцестояние;Отчим;1408;Не дыши;Человек у окна;Игра Джеральда;Игры мотыльков"
Идеальная игрушка;Ужасы;Триллер;Сверхъестественные;Новинки (2020–2025);6.438;85045;Life-Size;5.6;0;;;;;;;;;;6.0;"Одержимость;Наваждение;Потерянный рейс;Проклятый путь;Одержимая;Осатаневшая;Куколка;Репортаж;Реинкарнация;Тропы;Заклятие 2;Пыль;Звонок мертвецу;Незваные гости;Власть;Ведьма из Блэр: Курсовая с того света;Наш дом;Взаперти;Последняя Ночь;Не упускай из виду"
